text,label
python pandas numpy machine learning data analysis dashboards,Data Scientist
worked on ml models using python sklearn and pandas,Data Scientist
data analysis sql excel dashboards reporting business insights,Data Scientist
built predictive models using machine learning python,Data Scientist
nlp text classification using python nltk spacy,Data Scientist
data visualization using matplotlib seaborn python,Data Scientist
python pandas numpy statistics regression classification,Data Scientist
machine learning pipeline feature engineering model tuning,Data Scientist

html css javascript responsive design frontend ui development,Frontend Developer
built frontend using react javascript css html components,Frontend Developer
worked on ui ux design with html css bootstrap javascript,Frontend Developer
frontend development using react hooks api integration,Frontend Developer
designed web interfaces using css html javascript react,Frontend Developer
created responsive websites using html css javascript,Frontend Developer
frontend developer working with react and ui performance,Frontend Developer
implemented frontend features using javascript react,Frontend Developer

backend api development using nodejs express mongodb,Backend Developer
developed rest apis using nodejs express and sql database,Backend Developer
backend system using django flask python apis,Backend Developer
server side programming using nodejs express rest api,Backend Developer
designed backend architecture using sql database and apis,Backend Developer
built backend services using python flask django api,Backend Developer
backend development with authentication api database integration,Backend Developer
developed microservices backend using nodejs express,Backend Developer

machine learning deployment using docker kubernetes mlops pipeline,ML Engineer
deployed ml models using tensorflow pytorch docker,ML Engineer
ml engineer building pipelines using airflow docker kubernetes,ML Engineer
worked on model serving using fastapi docker deployment,ML Engineer
built ml pipelines with model deployment using docker,ML Engineer
deep learning model deployment production using pytorch,ML Engineer
mlops workflows using docker kubernetes airflow,ML Engineer
model deployment using cloud docker api serving,ML Engineer

docker kubernetes aws ci cd jenkins automation pipelines,DevOps Engineer
devops engineer working with cloud aws terraform docker,DevOps Engineer
ci cd pipeline automation using jenkins github actions,DevOps Engineer
cloud infrastructure using aws docker kubernetes monitoring,DevOps Engineer
infrastructure automation using terraform aws docker,DevOps Engineer
deployment pipelines using docker kubernetes aws devops,DevOps Engineer
linux scripting automation docker cloud deployment,DevOps Engineer
monitoring logging deployment automation devops tools,DevOps Engineer

excel sql tableau power bi dashboards reporting data analysis,Data Analyst
data analyst working with excel sql dashboards reporting,Data Analyst
business intelligence using tableau power bi excel,Data Analyst
data cleaning transformation using sql excel visualization,Data Analyst
dashboard creation using power bi tableau sql,Data Analyst
data reporting analytics using excel sql visualization,Data Analyst
business data analysis dashboards reporting insights,Data Analyst
data analyst using excel sql reporting tools visualization,Data Analyst

android kotlin java mobile app development android studio,Mobile App Developer
mobile app development using flutter dart android ios apps,Mobile App Developer
react native mobile applications development javascript,Mobile App Developer
android developer building apps using kotlin java ui ux,Mobile App Developer
flutter mobile development cross platform apps dart,Mobile App Developer
mobile applications using android kotlin java development,Mobile App Developer
react native mobile developer working on ios android apps,Mobile App Developer
mobile ui development using flutter dart android ios,Mobile App Developer

python sql dashboards backend data api development,Backend Developer
python pandas machine learning backend api integration,Data Scientist
react frontend api integration javascript backend interaction,Frontend Developer
docker deployment backend api ml model serving,ML Engineer
excel sql dashboards python data analysis reporting,Data Analyst
aws docker deployment backend cloud infrastructure,DevOps Engineer
react native mobile frontend javascript ui development,Mobile App Developer
